DATA;CD_GEOCMU;CD_GEOCMU6DIG;NM_MUNICIP;NM_MUNICIP2;NRS;NM_RS;LONG;LAT;CASO_CONF;CASO_ACOMP;CASO_TOTAL;CURADOS;ATIVOS;OBITO_ACUM;DIAS_ULTIMO_CASO;POP_MUN;OBITO_NOVO;LETALIDADE;PREVALENCIA
2021-09-03;2914406;291440;IRAQUARA;Iraquara;Centro-leste;Seabra;-41,583095;-12,248341;1741;0;1741;1714;10;17;0;25478;0;0,98;6833,35
2021-09-03;2914505;291450;IRARÁ;Irará;Centro-leste;Feira de Santana;-38,753895;-12,046429;2010;1;2011;1973;8;29;0;29173;0;1,44;6889,93
2021-09-03;2914604;291460;IRECÊ;Irecê;Centro-norte;Irecê;-41,838969;-11,309449;10300;0;10300;10122;26;152;0;73524;0;1,48;14009,03
2021-09-03;2914653;291465;ITABELA;Itabela;Extremo sul;Porto Seguro;-39,551337;-16,662903;1849;0;1849;1777;0;72;2;30747;0;3,89;6013,59
2021-09-03;2914703;291470;ITABERABA;Itaberaba;Centro-leste;Itaberaba;-40,262264;-12,499097;7337;33;7370;7208;0;144;0;64646;1;1,96;11349,5
2021-09-03;2914802;291480;ITABUNA;Itabuna;Sul;Itabuna;-39,312807;-14,851648;34040;4;34044;33212;139;689;0;213685;0;2,02;15929,99
2021-09-03;2914901;291490;ITACARÉ;Itacaré;Sul;Ilhéus;-39,157795;-14,362094;1225;0;1225;1201;0;26;28;28684;0;2,12;4270,67
2021-09-03;2915007;291500;ITAETÉ;Itaeté;Centro-leste;Itaberaba;-41,040418;-13,091757;418;0;418;409;0;10;13;16110;0;2,39;2594,66
2021-09-03;2915106;291510;ITAGI;Itagi;Sul;Jequié;-40,024851;-14,162264;946;0;946;916;8;22;2;12242;0;2,33;7727,5
2021-09-03;2915205;291520;ITAGIBÁ;Itagibá;Sul;Jequié;-39,830454;-14,252567;1244;0;1244;1209;7;28;1;14452;0;2,25;8607,81
2021-09-03;2915304;291530;ITAGIMIRIM;Itagimirim;Extremo sul;Porto Seguro;-39,737985;-16,096336;675;0;675;661;0;15;15;6825;0;2,22;9890,11
2021-09-03;2915353;291535;ITAGUAÇU DA BAHIA;Itaguaçu da Bahia;Centro-norte;Irecê;-42,238987;-10,769724;650;1;651;625;17;8;0;14542;0;1,23;4469,81
2021-09-03;2915403;291540;ITAJU DO COLÔNIA;Itaju do Colônia;Sul;Itabuna;-39,731652;-15,148336;410;0;410;404;0;6;6;6596;0;1,46;6215,89
2021-09-03;2915502;291550;ITAJUÍPE;Itajuípe;Sul;Itabuna;-39,4449;-14,671518;2734;0;2734;2671;8;55;0;20398;0;2,01;13403,27
2021-09-03;2915601;291560;ITAMARAJU;Itamaraju;Extremo sul;Teixeira de Freitas;-39,764796;-17,008757;7781;7;7788;7597;31;153;0;64455;0;1,97;12071,99
2021-09-03;2915700;291570;ITAMARI;Itamari;Sul;Jequié;-39,667054;-13,766584;555;0;555;541;4;10;6;8003;0;1,8;6934,9
2021-09-03;2915809;291580;ITAMBÉ;Itambé;Sudoeste;Itapetinga;-40,462594;-15,158114;1854;0;1854;1835;0;20;1;22754;0;1,08;8148,02
2021-09-03;2915908;291590;ITANAGRA;Itanagra;Nordeste;Alagoinhas;-38,042503;-12,31533;306;0;306;297;1;8;14;6436;0;2,61;4754,51
2021-09-03;2916005;291600;ITANHÉM;Itanhém;Extremo sul;Teixeira de Freitas;-40,378352;-17,115408;1357;0;1357;1318;0;39;2;19316;0;2,87;7025,26
2021-09-03;2916104;291610;ITAPARICA;Itaparica;Leste;Salvador;-38,656873;-12,892612;1416;0;1416;1374;4;38;1;22337;0;2,68;6339,26
2021-09-03;2916203;291620;ITAPÉ;Itapé;Sul;Itabuna;-39,495903;-14,954378;787;0;787;760;0;27;3;8526;0;3,43;9230,59
2021-09-03;2916302;291630;ITAPEBI;Itapebi;Extremo sul;Porto Seguro;-39,653153;-15,91211;688;0;688;666;0;23;5;10215;0;3,34;6735,19
2021-09-03;2916401;291640;ITAPETINGA;Itapetinga;Sudoeste;Itapetinga;-40,057515;-15,29928;5516;0;5516;5361;19;136;0;76795;0;2,47;7182,76
2021-09-03;2916500;291650;ITAPICURU;Itapicuru;Nordeste;Alagoinhas;-38,194311;-11,192021;1599;1;1600;1574;0;25;1;35883;0;1,56;4456,15
2021-09-03;2916609;291660;ITAPITANGA;Itapitanga;Sul;Itabuna;-39,619958;-14,472907;930;0;930;915;0;15;4;10298;0;1,61;9030,88
2021-09-03;2916708;291670;ITAQUARA;Itaquara;Sul;Jequié;-39,898458;-13,448891;696;0;696;687;0;9;34;8347;0;1,29;8338,33
2021-09-03;2916807;291680;ITARANTIM;Itarantim;Sudoeste;Itapetinga;-40,049147;-15,697738;723;0;723;702;0;23;14;19843;0;3,18;3643,6
2021-09-03;2916856;291685;ITATIM;Itatim;Leste;Santo Antônio de Jesus;-39,734692;-12,71284;853;0;853;826;1;26;5;14539;0;3,05;5866,98
2021-09-03;2916906;291690;ITIRUÇU;Itiruçu;Sul;Jequié;-40,153071;-13,487525;1002;0;1002;971;9;22;0;12528;0;2,2;7998,08
2021-09-03;2917003;291700;ITIÚBA;Itiúba;Norte;Senhor do Bonfim;-39,845358;-10,731374;1657;0;1657;1619;0;38;2;36116;0;2,29;4587,99
2021-09-03;2917102;291710;ITORORÓ;Itororó;Sudoeste;Itapetinga;-40,007204;-15,048842;3214;1;3215;3179;1;34;6;20388;0;1,06;15764,18
2021-09-03;2917201;291720;ITUAÇU;Ituaçu;Sudoeste;Brumado;-41,390007;-13,837101;1888;0;1888;1859;4;25;0;19030;0;1,32;9921,18
2021-09-03;2917300;291730;ITUBERÁ;Ituberá;Sul;Valença;-39,15295;-13,749335;1886;0;1886;1829;6;51;13;28740;0;2,7;6562,28
2021-09-03;2917334;291733;IUIÚ;Iuiú;Sudoeste;Guanambi;-43,543207;-14,466472;940;0;940;926;3;11;1;11016;0;1,17;8533,04
2021-09-03;2917359;291735;JABORANDI;Jaborandi;Oeste;Santa Maria da Vitória;-45,442709;-14,033288;748;0;748;733;5;10;0;8277;0;1,34;9037,09
2021-09-03;2917409;291740;JACARACI;Jacaraci;Sudoeste;Guanambi;-42,322286;-14,784849;815;0;815;789;9;17;1;14850;0;2,09;5488,22
2021-09-03;2917508;291750;JACOBINA;Jacobina;Centro-norte;Jacobina;-40,568546;-11,13492;7037;10;7047;6928;4;105;0;80635;0;1,49;8726,98
2021-09-03;2917607;291760;JAGUAQUARA;Jaguaquara;Sul;Jequié;-39,957039;-13,55388;6143;0;6143;6073;5;65;8;54673;0;1,06;11235,89
2021-09-03;2917706;291770;JAGUARARI;Jaguarari;Norte;Senhor do Bonfim;-40,068348;-10,042621;2197;0;2197;2148;0;50;0;33746;0;2,28;6510,4
2021-09-03;2917805;291780;JAGUARIPE;Jaguaripe;Leste;Santo Antônio de Jesus;-38,986515;-13,121259;1038;0;1038;1020;0;20;16;18981;0;1,93;5468,63
2021-09-03;2917904;291790;JANDAÍRA;Jandaíra;Nordeste;Alagoinhas;-37,594356;-11,597778;633;0;633;618;2;13;19;10726;0;2,05;5901,55
2021-09-03;2918001;291800;JEQUIÉ;Jequié;Sul;Jequié;-40,146131;-13,877607;17988;2;17990;17589;9;390;0;156126;0;2,17;11521,46
2021-09-03;2918100;291810;JEREMOABO;Jeremoabo;Norte;Paulo Afonso;-38,552526;-9,940661;2246;0;2246;2191;8;47;1;40651;0;2,09;5525,08
2021-09-03;2918209;291820;JIQUIRIÇÁ;Jiquiriçá;Leste;Santo Antônio de Jesus;-39,584656;-13,324538;1045;0;1045;1019;0;27;0;14557;0;2,58;7178,68
2021-09-03;2918308;291830;JITAÚNA;Jitaúna;Sul;Jequié;-39,86666;-13,957972;981;0;981;953;0;28;3;10808;0;2,85;9076,61
2021-09-03;2918357;291835;JOÃO DOURADO;João Dourado;Centro-norte;Irecê;-41,567214;-11,220169;1749;0;1749;1702;0;48;1;25402;0;2,74;6885,28
2021-09-03;2918407;291840;JUAZEIRO;Juazeiro;Norte;Juazeiro;-40,27466;-9,55688;17335;10;17345;16903;41;391;0;218162;0;2,26;7945,93
2021-09-03;2918456;291845;JUCURUÇU;Jucuruçu;Extremo sul;Teixeira de Freitas;-40,100747;-16,845586;917;0;917;906;0;11;0;8988;0;1,2;10202,49
2021-09-03;2918506;291850;JUSSARA;Jussara;Centro-norte;Irecê;-41,880302;-10,925533;705;0;705;690;5;10;0;15262;0;1,42;4619,32
2021-09-03;2918555;291855;JUSSARI;Jussari;Sul;Itabuna;-39,498022;-15,136642;654;0;654;643;0;11;2;5768;0;1,68;11338,42
2021-09-03;2918605;291860;JUSSIAPE;Jussiape;Sudoeste;Brumado;-41,598876;-13,511311;367;0;367;360;0;9;4;5976;0;2,45;6141,23
2021-09-03;2918704;291870;LAFAIETE COUTINHO;Lafaiete Coutinho;Sul;Jequié;-40,292581;-13,641588;435;0;435;429;0;6;1;3693;0;1,38;11779,04
2021-09-03;2918753;291875;LAGOA REAL;Lagoa Real;Sudoeste;Guanambi;-42,219603;-14,047295;852;1;853;821;22;9;0;15770;0;1,06;5402,66
2021-09-03;2918803;291880;LAJE;Laje;Leste;Santo Antônio de Jesus;-39,346418;-13,166984;1922;0;1922;1889;0;33;10;24032;0;1,72;7997,67
2021-09-03;2918902;291890;LAJEDÃO;Lajedão;Extremo sul;Teixeira de Freitas;-40,309827;-17,559587;472;0;472;462;2;8;9;3975;0;1,69;11874,21
2021-09-03;2919009;291900;LAJEDINHO;Lajedinho;Centro-leste;Itaberaba;-40,963446;-12,380974;297;0;297;297;0;1;36;3758;0;0,34;7903,14
2021-09-03;2919058;291905;LAJEDO DO TABOCAL;Lajedo do Tabocal;Sul;Jequié;-40,282259;-13,460225;701;0;701;685;2;14;1;8577;0;2;8173,02
2021-09-03;2919108;291910;LAMARÃO;Lamarão;Centro-leste;Serrinha;-38,909962;-11,785909;421;2;423;409;5;7;2;8191;0;1,66;5139,79
2021-09-03;2919157;291915;LAPÃO;Lapão;Centro-norte;Irecê;-41,77669;-11,501287;2252;7;2259;2220;0;35;0;27274;0;1,55;8256,95
2021-09-03;2919207;291920;LAURO DE FREITAS;Lauro de Freitas;Leste;Salvador;-38,327273;-12,863213;23051;6;23057;22443;79;529;0;201635;0;2,29;11432,04
2021-09-03;2919306;291930;LENÇÓIS;Lençóis;Centro-leste;Seabra;-41,337293;-12,424989;1010;0;1010;993;0;18;2;11499;0;1,78;8783,37
2021-09-03;2919405;291940;LICÍNIO DE ALMEIDA;Licínio de Almeida;Sudoeste;Guanambi;-42,470101;-14,586021;451;0;451;440;1;10;8;12373;0;2,22;3645,03
2021-09-03;2919504;291950;LIVRAMENTO DE NOSSA SENHORA;Livramento de Nossa Senhora;Sudoeste;Brumado;-41,990849;-13,810688;3301;3;3304;3231;1;69;0;46062;0;2,09;7166,43
2021-09-03;2919553;291955;LUÍS EDUARDO MAGALHÃES;Luís Eduardo Magalhães;Oeste;Barreiras;-46,013079;-12,193702;13208;30;13238;13050;16;142;0;90162;0;1,08;14649,19
2021-09-03;2919603;291960;MACAJUBA;Macajuba;Centro-leste;Itaberaba;-40,262256;-12,129296;752;0;752;732;12;8;0;11332;1;1,06;6636,07
2021-09-03;2919702;291970;MACARANI;Macarani;Sudoeste;Itapetinga;-40,400968;-15,545818;908;0;908;884;1;23;0;18909;0;2,53;4801,95
2021-09-03;2919801;291980;MACAÚBAS;Macaúbas;Sudoeste;Brumado;-42,692918;-13,108138;2365;0;2365;2336;6;23;0;50161;0;0,97;4714,82
2021-09-03;2919900;291990;MACURURÉ;Macururé;Norte;Paulo Afonso;-38,896729;-9,291078;333;0;333;322;3;8;16;7787;0;2,4;4276,36
