"DATA";"NRS";"ENFERMARIA_ADULTO_TOTAL";"ENFERMARIA_ADULTO_OCUPADOS";"ENFERMARIA_PEDIATRICA_TOTAL";"ENFERMARIA_PEDIATRICA_OCUPADOS";"UTI_ADULTO_TOTAL";"UTI_ADULTO_OCUPADOS";"UTI_PEDIATRICA_TOTAL";"UTI_PEDIATRICA_OCUPADOS";"ENFERMARIA_ADULTO_VAGOS";"ENFERMARIA_PEDIATRICA_VAGOS";"UTI_ADULTO_VAGOS";"UTI_PEDIATRICA_VAGOS";"ENFERMARIA_GERAL_TOTAL";"ENFERMARIA_GERAL_OCUPADOS";"ENFERMARIA_GERAL_VAGOS";"UTI_GERAL_TOTAL";"UTI_GERAL_OCUPADOS";"UTI_GERAL_VAGOS";"LEITOS_TOTAL";"LEITOS_OCUPADOS";"LEITOS_VAGOS";"ENFERMARIA_ADULTO_TX_OCUPACAO";"ENFERMARIA_PEDIATRICA_TX_OCUPACAO";"UTI_ADULTO_TX_OCUPACAO";"UTI_PEDIATRICA_TX_OCUPACAO";"ENFERMARIA_GERAL_TX_OCUPACAO";"UTI_GERAL_TX_OCUPACAO";"LEITOS_TX_OCUPACAO"
2020-06-10;"EXTREMO-SUL";20;9;0;0;19;18;0;0;11;0;1;0;20;9;11;19;18;1;39;27;12;0,45;NA;0,9474;NA;0,45;0,9474;0,6923
2020-06-10;"LESTE";588;445;27;13;558;436;27;8;143;14;122;19;615;458;157;585;444;141;1200;902;298;0,7568;0,4815;0,7814;0,2963;0,7447;0,759;0,7517
2020-06-10;"NORDESTE";21;2;0;0;15;9;0;0;19;0;6;0;21;2;19;15;9;6;36;11;25;0,0952;NA;0,6;NA;0,0952;0,6;0,3056
2020-06-10;"NORTE";79;13;2;0;20;18;0;0;66;2;2;0;81;13;68;20;18;2;101;31;70;0,1646;0;0,9;NA;0,1605;0,9;0,3069
2020-06-10;"OESTE";20;3;0;0;11;7;0;0;17;0;4;0;20;3;17;11;7;4;31;10;21;0,15;NA;0,6364;NA;0,15;0,6364;0,3226
2020-06-10;"SUDOESTE";72;13;0;0;50;23;1;0;59;0;27;1;72;13;59;51;23;28;123;36;87;0,1806;NA;0,46;0;0,1806;0,451;0,2927
2020-06-10;"SUL";131;53;10;1;74;65;3;0;78;9;9;3;141;54;87;77;65;12;218;119;99;0,4046;0,1;0,8784;0;0,383;0,8442;0,5459
2020-06-12;"CENTRO-LESTE";112;27;20;1;48;11;10;4;85;19;37;6;132;28;104;58;15;43;190;43;147;0,2411;0,05;0,2292;0,4;0,2121;0,2586;0,2263
2020-06-12;"CENTRO-NORTE";55;5;0;0;7;6;0;0;50;0;1;0;55;5;50;7;6;1;62;11;51;0,0909;NA;0,8571;NA;0,0909;0,8571;0,1774
2020-06-12;"EXTREMO-SUL";20;9;0;0;19;18;0;0;11;0;1;0;20;9;11;19;18;1;39;27;12;0,45;NA;0,9474;NA;0,45;0,9474;0,6923
2020-06-12;"LESTE";588;445;27;13;558;436;27;8;143;14;122;19;615;458;157;585;444;141;1200;902;298;0,7568;0,4815;0,7814;0,2963;0,7447;0,759;0,7517
2020-06-12;"NORDESTE";21;2;0;0;15;9;0;0;19;0;6;0;21;2;19;15;9;6;36;11;25;0,0952;NA;0,6;NA;0,0952;0,6;0,3056
